provider_id,vendor,asn,cidr,start_ip,end_ip,org,scope,status
aeza-group,Aeza Group,AS210644,178.20.209.0/24,178.20.209.0,178.20.209.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,185.103.101.0/24,185.103.101.0,185.103.103.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,185.103.102.0/23,185.103.101.0,185.103.103.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,185.104.151.0/24,185.104.151.0,185.104.151.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,185.125.100.0/22,185.125.100.0,185.125.103.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,185.197.74.0/24,185.197.74.0,185.197.74.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,185.230.143.0/24,185.230.143.0,185.230.143.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,185.246.217.0/24,185.246.217.0,185.246.217.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,185.68.244.0/24,185.68.244.0,185.68.244.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,193.188.20.0/23,193.188.20.0,193.188.22.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,193.188.22.0/24,193.188.20.0,193.188.22.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,193.232.178.0/24,193.232.178.0,193.232.178.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,193.233.128.0/22,193.233.128.0,193.233.131.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,193.233.133.0/24,193.233.133.0,193.233.133.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,193.233.232.0/23,193.233.232.0,193.233.233.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,193.29.224.0/23,193.29.224.0,193.29.225.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,193.33.153.0/24,193.33.153.0,193.33.153.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,194.226.169.0/24,194.226.169.0,194.226.169.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,194.33.34.0/23,194.33.34.0,194.33.35.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,194.76.217.0/24,194.76.217.0,194.76.217.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,212.113.100.0/22,212.113.100.0,212.113.103.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,212.113.106.0/24,212.113.106.0,212.113.106.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,212.113.116.0/24,212.113.116.0,212.113.116.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,212.113.119.0/24,212.113.119.0,212.113.119.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,213.108.20.0/22,213.108.20.0,213.108.23.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,213.165.32.0/20,213.165.32.0,213.165.51.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,213.165.48.0/22,213.165.32.0,213.165.51.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,213.176.112.0/22,213.176.112.0,213.176.115.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,213.176.64.0/22,213.176.64.0,213.176.67.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,213.21.229.0/24,213.21.229.0,213.21.229.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,213.21.233.0/24,213.21.233.0,213.21.233.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,213.21.235.0/24,213.21.235.0,213.21.235.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,213.21.242.0/24,213.21.242.0,213.21.242.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,213.21.246.0/24,213.21.246.0,213.21.246.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,213.21.250.0/23,213.21.250.0,213.21.252.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,213.21.252.0/24,213.21.250.0,213.21.252.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,213.21.254.0/24,213.21.254.0,213.21.254.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,217.144.185.0/24,217.144.185.0,217.144.191.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,217.144.186.0/23,217.144.185.0,217.144.191.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,217.144.188.0/22,217.144.185.0,217.144.191.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,217.197.107.0/24,217.197.107.0,217.197.107.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,45.144.54.0/23,45.144.54.0,45.144.55.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,45.150.32.0/23,45.150.32.0,45.150.33.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,45.80.228.0/22,45.80.228.0,45.80.231.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,46.226.160.0/21,46.226.160.0,46.226.167.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,5.182.86.0/23,5.182.86.0,5.182.87.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,62.60.148.0/22,62.60.148.0,62.60.151.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
